Year,Month,Exports,Imports,Balance of trade
2003,1,169.30,223.90,-54.50
2003,2,160.00,241.80,-81.80
2003,3,185.40,250.90,-65.50
2003,4,180.10,272.50,-92.50
2003,5,174.90,251.10,-76.20
2003,6,188.90,252.70,-63.80
2003,7,182.40,272.50,-90.10
2003,8,164.90,221.80,-56.80
2003,9,188.40,249.90,-61.50
2003,10,179.60,261.60,-82.00
2003,11,184.50,237.40,-52.90
2003,12,203.80,248.30,-44.50
2004,1,164.70,251.50,-86.80
2004,2,176.50,250.90,-74.40
2004,3,207.70,325.90,-118.20
2004,4,178.10,404.50,-226.40
2004,5,178.30,250.90,-72.50
2004,6,170.80,228.50,-57.70
2004,7,160.60,269.50,-108.90
2004,8,165.70,231.80,-66.00
2004,9,183.10,221.70,-38.60
2004,10,171.40,287.50,-116.10
2004,11,180.60,315.20,-134.70
2004,12,178.00,288.70,-110.70
2005,1,138.80,237.10,-98.30
2005,2,139.90,237.30,-97.40
2005,3,157.20,237.50,-80.30
2005,4,157.10,247.30,-90.30
2005,5,167.50,294.10,-126.70
2005,6,164.20,244.90,-80.70
2005,7,151.50,259.20,-107.70
2005,8,151.90,231.50,-79.60
2005,9,173.10,249.40,-76.30
2005,10,167.80,301.40,-133.60
2005,11,197.10,322.80,-125.70
2005,12,190.00,253.60,-63.70
2006,1,187.90,224.10,-36.20
2006,2,157.70,333.10,-175.40
2006,3,193.20,302.70,-109.50
2006,4,191.90,293.20,-101.20
2006,5,255.70,347.40,-91.70
2006,6,206.30,312.90,-106.60
2006,7,194.30,301.30,-107.00
2006,8,187.20,301.90,-114.60
2006,9,219.70,266.50,-46.70
2006,10,224.90,305.20,-80.30
2006,11,265.70,293.60,-27.90
2006,12,207.10,253.00,-45.90
2007,1,179.90,242.90,-63.00
2007,2,171.60,246.80,-75.20
2007,3,227.50,370.80,-143.30
2007,4,185.90,263.50,-77.50
2007,5,228.10,280.70,-52.60
2007,6,317.50,350.00,-32.50
2007,7,221.50,332.00,-110.50
2007,8,187.20,260.80,-73.60
2007,9,202.10,273.30,-71.20
2007,10,207.00,385.60,-178.60
2007,11,208.00,295.20,-87.20
2007,12,255.10,300.00,-44.90
2008,1,209.10,301.30,-92.20
